time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1775728167109693400,6.482693359375,0,1.5,1.3936258554458618,22.33799934387207,0.0976133868098259,0,68.9000015258789,4.8745796,52.3194272
1775728167767455500,7.14045556640625,0,1.5,1.3936258554458618,22.413000106811523,0.09940291196107864,0,68.9000015258789,4.8745808,52.3194273
1775728168345366500,7.718366455078125,0,1.5,1.401155948638916,22.55299949645996,0.09911981970071793,0,68.9000015258789,4.8745817,52.3194274
1775728168989630000,8.3626298828125,0,1.5,1.401155948638916,22.701000213623047,0.09359234571456909,0,68.9000015258789,4.8745822,52.3194273
1775728169508441000,8.881441162109375,180,0.348180890083313,1.4082494974136353,22.847999572753906,1.012577772140503,89.14584350585938,68.9000015258789,4.8746006,52.319427
1775728170203782700,9.57678271484375,180,0.27802878618240356,1.4082494974136353,23.086000442504883,1.040345549583435,89.14494323730469,68.9000015258789,4.874605,52.3194276
1775728170769877800,10.142877685546875,180,0.3048967123031616,1.4136391878128052,23.31599998474121,1.046916127204895,89.24610137939453,68.9000015258789,4.8746074,52.3194279
1775728170943736300,10.316736328125,180,0.3048967123031616,1.35533607006073,23.506999969482422,1.0483344793319702,90,68.5999984741211,4.8745825,52.3194289
1775728171445717200,10.81871728515625,105.21489715576172,0.25370505452156067,1.35533607006073,22.326000213623047,1.0803337097167969,61.702117919921875,68.5999984741211,4.8746198,52.3194393
1775728172029573000,11.402572998046875,105.54336547851562,0.27687641978263855,1.3620176315307617,21.447999954223633,1.0741424560546875,58.43153762817383,68.5999984741211,4.874624,52.3194411
1775728172686371800,12.059371826171875,109.31443786621094,0.2352726012468338,1.3620176315307617,20.658000946044922,1.0738694667816162,55.11224365234375,68.5999984741211,4.8746291,52.3194432
1775728173224008400,12.597008544921875,120.69812774658203,0.20173893868923187,1.368874430656433,19.934999465942383,1.090268850326538,49.26645278930664,68.5999984741211,4.8746313,52.3194456
1775728173946527700,13.31952783203125,120.26516723632812,0.23849742114543915,1.368874430656433,18.663999557495117,1.0926347970962524,45.145931243896484,68.5999984741211,4.8746346,52.3194487
1775728174548546300,13.92154638671875,180,0.19978798925876617,1.3765897750854492,17.354999542236328,1.266659140586853,56.718597412109375,68.5999984741211,4.8746374,52.31945
1775728175307958300,14.680958251953125,180,0.24828757345676422,1.3765897750854492,16.655000686645508,1.2078355550765991,60.08829879760742,68.5999984741211,4.8746389,52.3194514
1775728178587893200,17.960893310546876,180,0.32932111620903015,1.409773349761963,17.511999130249023,0.6109588742256165,66.59992218017578,68.9000015258789,4.8746577,52.3194508
1775728178836812000,18.20981201171875,180,0.32932111620903015,1.3067271709442139,17.500999450683594,0.5364211797714233,90,69.30000305175781,4.874617,52.3194351
1775728179329343000,18.702343017578126,115.8768310546875,0.3314521312713623,1.3067271709442139,16.950000762939453,0.40469127893447876,261.8863220214844,69.30000305175781,4.8746276,52.3194337
1775728180043324400,19.416324462890625,118.22591400146484,0.34241387248039246,1.3128002882003784,16.093000411987305,0.4557811915874481,261.063232421875,69.30000305175781,4.874624,52.3194333
1775728180610665000,19.9836650390625,106.84378814697266,0.4033198058605194,1.3128002882003784,14.89900016784668,0.5317040085792542,264.42010498046875,69.30000305175781,4.8746214,52.3194328
1775728181144693000,20.51769287109375,103.8495864868164,0.47639939188957214,1.320082664489746,13.86299991607666,0.5495063662528992,291.35089111328125,69.30000305175781,4.87462,52.3194316
1775728181684192300,21.057192138671876,103.1825180053711,0.47474682331085205,1.320082664489746,13.569000244140625,0.6000143885612488,301.28369140625,69.30000305175781,4.8746191,52.3194314
1775728182284913700,21.65791357421875,112.66603088378906,0.5142731070518494,1.3264646530151367,13.29800033569336,0.6981353163719177,331.1922912597656,69.30000305175781,4.8746194,52.3194319
1775728182848877000,22.221876953125,112.30896759033203,0.5137848854064941,1.3264646530151367,13.079999923706055,0.7514485120773315,347.18328857421875,69.30000305175781,4.8746209,52.3194327
1775728183388538000,22.7615380859375,100.77622985839844,0.31503933668136597,1.333301067352295,12.857999801635742,0.7736856341362,15.546245574951172,69.30000305175781,4.874624,52.3194351
1775728183970455300,23.343455322265626,103.44075775146484,0.3436782956123352,1.333301067352295,12.166999816894531,0.8764355182647705,29.630632400512695,69.30000305175781,4.874628,52.3194373
1775728184489995800,23.862995849609376,84.60740661621094,0.22964392602443695,1.3338453769683838,11.97700023651123,1.0355825424194336,41.78096008300781,69.30000305175781,4.8746337,52.3194397
1775728184989627000,24.362626953125,81.51178741455078,0.25978171825408936,1.3338453769683838,12.010000228881836,1.1391456127166748,47.0112419128418,69.30000305175781,4.8746391,52.3194418
1775728185563971600,24.9369716796875,75.90933227539062,0.22066819667816162,1.332275629043579,11.989999771118164,1.2265263795852661,51.30419921875,69.30000305175781,4.8746464,52.3194445
1775728186184361200,25.557361328125,52.45552062988281,0.20432977378368378,1.332275629043579,12.069000244140625,1.3107467889785767,57.091819763183594,69.30000305175781,4.874656,52.3194473
1775728186666161700,26.03916162109375,52.13184356689453,0.24342766404151917,1.331835389137268,12.303000450134277,1.339203953742981,60.82499313354492,69.30000305175781,4.8746631,52.319449
