time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1775728162639000000,2.012,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,70,192.168.0.110,2412,,
1775728164640000000,4.013,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,70,192.168.0.110,2412,,
1775728166644000000,6.017,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,70,192.168.0.110,2412,,
1775728168645000000,8.018,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,70,192.168.0.110,2412,,
1775728170646000000,10.019000244140624,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,70,192.168.0.110,2412,,
1775728172646000000,12.019000244140624,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,70,192.168.0.110,2412,,
1775728174647000000,14.02,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,70,192.168.0.110,2412,,
1775728176647000000,16.02,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,70,192.168.0.110,2412,,
1775728178648000000,18.021,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,70,192.168.0.110,2412,,
1775728180649000000,20.022,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,70,192.168.0.110,2412,,
1775728182648000000,22.021,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,70,192.168.0.110,2412,,
1775728184649000000,24.022,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,70,192.168.0.110,2412,,
1775728186649000000,26.022,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,70,192.168.0.110,2412,,
1775728188654000000,28.027000244140623,wifi,true,true,true,false,MEA,d8:47:32:c7:ec:8e,70,192.168.0.110,2412,,
