time,seconds_elapsed,steps
1774789945843022600,-2.692977294921875,0
1774789957374372900,8.838372802734375,6
1774789957967303700,9.4313037109375,7
1774789958560236000,10.024236083984375,8
1774789959171259100,10.635259033203125,9
1774789959755250000,11.21925,10
1774789960394306600,11.858306640625,11
1774789960949696000,12.413696044921876,12
1774789961561452000,13.0254521484375,13
1774789962173772300,13.637772216796876,14
1774789962765149700,14.229149658203125,15
1774789963358140200,14.82214013671875,16
1774789963950772000,15.41477197265625,17
1774789964544053800,16.0080537109375,18
1774789965154780400,16.618780517578124,19
1774789965766423600,17.230423583984376,20
1774789966359233000,17.82323291015625,21
1774789966952842500,18.416842529296876,22
1774789967544803000,19.008802978515625,23
1774789968156235500,19.620235595703125,24
1774789968767540500,20.23154052734375,25
1774789969397396500,20.861396484375,26
1774789970008582000,21.472581787109377,27
1774789970593631500,22.057631591796873,28
1774789971231241000,22.695240966796874,29
1774789971861050400,23.32505029296875,30
1774789972454124000,23.9181240234375,31
1774789973139342000,24.603342041015626,32
