recording,step_source,heading,n_steps,total_distance_m,closure_error_m,total_turn_deg
Walking,phone,Orientation quaternion (OS fusion),175,173.12,36.51,-525.3
Walking,phone,"Accel + gyro, complementary filter (no mag.)",175,173.12,0.96,-352.6
Walking,phone,"Accel + gyro, EKF (no mag.)",175,173.12,1.14,-343.2
Walking,phone,"Gyro only, integrated (no filter)",175,173.12,12.6,-380.8
Walking,phone,"Gyro + magnetometer, EKF",175,173.12,105.19,99.6
Walking,watch,Orientation quaternion (OS fusion),167,120.8,28.45,-525.3
Walking,watch,"Accel + gyro, complementary filter (no mag.)",167,120.8,0.62,-352.6
Walking,watch,"Accel + gyro, EKF (no mag.)",167,120.8,1.03,-343.2
Walking,watch,"Gyro only, integrated (no filter)",167,120.8,9.89,-380.8
Walking,watch,"Gyro + magnetometer, EKF",167,120.8,75.62,99.6
Walking-4,phone,Orientation quaternion (OS fusion),184,170.65,25.51,-127.5
Walking-4,phone,"Accel + gyro, complementary filter (no mag.)",184,170.65,2.7,-353.8
Walking-4,phone,"Accel + gyro, EKF (no mag.)",184,170.65,3.85,-359.1
Walking-4,phone,"Gyro only, integrated (no filter)",184,170.65,8.41,-376.4
Walking-4,phone,"Gyro + magnetometer, EKF",184,170.65,44.81,197.4
Walking-4,watch,Orientation quaternion (OS fusion),178,126.21,17.91,-127.5
Walking-4,watch,"Accel + gyro, complementary filter (no mag.)",178,126.21,1.56,-353.8
Walking-4,watch,"Accel + gyro, EKF (no mag.)",178,126.21,0.74,-359.1
Walking-4,watch,"Gyro only, integrated (no filter)",178,126.21,4.69,-376.4
Walking-4,watch,"Gyro + magnetometer, EKF",178,126.21,36.03,197.4
Upstairs,phone,Orientation quaternion (OS fusion),82,72.18,8.61,1076.3
Upstairs,phone,"Accel + gyro, complementary filter (no mag.)",82,72.18,3.67,1045.8
Upstairs,phone,"Accel + gyro, EKF (no mag.)",82,72.18,3.25,1045.8
Upstairs,phone,"Gyro only, integrated (no filter)",82,72.18,5.01,1023.4
Upstairs,phone,"Gyro + magnetometer, EKF",82,72.18,26.38,-254.5
Upstairs,watch,Orientation quaternion (OS fusion),73,60.34,8.76,1076.3
Upstairs,watch,"Accel + gyro, complementary filter (no mag.)",73,60.34,6.36,1045.8
Upstairs,watch,"Accel + gyro, EKF (no mag.)",73,60.34,5.92,1045.8
Upstairs,watch,"Gyro only, integrated (no filter)",73,60.34,5.74,1023.4
Upstairs,watch,"Gyro + magnetometer, EKF",73,60.34,26.55,-254.5
Downstairs,phone,Orientation quaternion (OS fusion),114,108.65,17.72,280.3
Downstairs,phone,"Accel + gyro, complementary filter (no mag.)",114,108.65,11.48,954.1
Downstairs,phone,"Accel + gyro, EKF (no mag.)",114,108.65,9.17,-1365.5
Downstairs,phone,"Gyro only, integrated (no filter)",114,108.65,6.14,-1300.0
Downstairs,phone,"Gyro + magnetometer, EKF",114,108.65,22.25,-171.6
Downstairs,watch,Orientation quaternion (OS fusion),95,80.59,16.17,280.3
Downstairs,watch,"Accel + gyro, complementary filter (no mag.)",95,80.59,12.02,954.1
Downstairs,watch,"Accel + gyro, EKF (no mag.)",95,80.59,8.16,-1365.5
Downstairs,watch,"Gyro only, integrated (no filter)",95,80.59,6.91,-1300.0
Downstairs,watch,"Gyro + magnetometer, EKF",95,80.59,22.7,-171.6
